"AccountEnabled","AlternativeSecurityIds","ApproximateLastSignInDateTime","ComplianceExpirationDateTime","DeletedDateTime","DeviceCategory","DeviceId","DeviceMetadata","DeviceOwnership","DeviceVersion","DisplayName","EnrollmentProfileName","Extensions","Id","IsCompliant","IsManaged","MdmAppId","MemberOf","OnPremisesLastSyncDateTime","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","PhysicalIds","ProfileType","RegisteredOwners","RegisteredUsers","RegistrationDateTime","SystemLabels","TransitiveMemberOf","TrustType","AdditionalProperties"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","11/06/2023 19:02:41",,,,"3a9bd108-671e-4f62-b036-1e48ee68b82f",,"Company","2","Johan Iphone",,,"024c0ed4-6ab5-4e59-a9a8-57820d9f057a","False","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","16.1.2","System.String[]","RegisteredDevice",,,"03/08/2020 08:30:01","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","18/12/2023 19:12:51",,,,"e9f238d5-1ef1-4c73-921f-c1ef0db95ddc",,"Personal","2","Luke’s iPhone",,,"065e2629-60ab-4651-b170-01a66f94e1d4","True","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","17.2.1","System.String[]","RegisteredDevice",,,"06/03/2023 12:03:43","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","28/02/2022 14:41:02",,,,"c9f5c8be-8c66-409d-9880-9f089ff8a474",,,"2","DESKTOP-MLG5UFD",,,"066a4c22-eadf-42d7-a28f-9419317493c6",,,,,,,"Windows","10.0.19044.1466","System.String[]","RegisteredDevice",,,"11/02/2022 14:52:52","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","14/12/2023 15:39:45",,,,"20479cfa-36e5-483e-a709-23ea332fe1da",,"Company","2","ACLT65","ASAPCLOUD Laptops Admin User",,"07096c5b-5d58-488d-8929-60c39a2b2177","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22631.2861","System.String[]","RegisteredDevice",,,"21/08/2023 11:37:42","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","13/12/2023 04:51:55",,,,"86126fa8-4d15-4156-96f7-110b5713f02b",,"Company","2","ACLT35","ASAPCLOUD Laptops Admin User",,"07301e58-b5c9-495f-85b0-fff4b53687ca","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22621.2861","System.String[]","RegisteredDevice",,,"19/04/2022 09:47:06","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","19/12/2023 02:22:42",,,,"e7b055d7-f230-4373-85f9-1bd542ed6fbe",,"Personal","2","iPhone",,,"081fe667-1545-41a4-ba29-94ee4ec36da8","True","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","17.2.1","System.String[]","RegisteredDevice",,,"25/09/2023 16:57:09","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","15/07/2023 19:35:23",,,,"d4bad335-22fe-43ac-bd01-b651bcec8f74",,"Company","2","iPhone (2)",,,"096243ed-e92d-404e-b23b-15ff1cd1288e","False","False",,,,,"IPhone","15.4.1","System.String[]","RegisteredDevice",,,"13/08/2020 14:08:40","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","14/12/2023 00:33:52",,,,"6fa51699-2d65-414a-8432-1d3c8ea1b840",,,"2","iPhone 13",,,"0a5da7a0-c47c-48e0-baa5-c3cae92f9022",,,,,,,"iOS","16.1.2","System.String[]","RegisteredDevice",,,"27/12/2021 16:03:49","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","20/12/2023 07:59:47",,,,"a2d1a798-07c7-45e0-8cf7-32ee99a6d61a",,"Company","2","ACLT34","ASAPCLOUD Laptops Admin User",,"0b9095e8-2d03-4148-9e2c-5d186266e4ba","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22621.2861","System.String[]","RegisteredDevice",,,"04/12/2023 09:32:23","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","18/12/2023 16:59:02",,,,"61ee7ccb-50fc-4d52-b5f3-7c968866a394",,,"2","iPhone 11",,,"0d2af037-f1c7-4908-8c39-ee12beb4f035",,,,,,,"iOS","16.6","System.String[]","RegisteredDevice",,,"28/08/2023 14:12:02","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","16/12/2023 16:35:28",,,,"a54726af-22f5-43da-8375-a43b5819b4d4",,"Personal","2","iPhone van Nynke",,,"102b663b-6db7-42e0-bf10-789c4318d012","True","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","17.1.2","System.String[]","RegisteredDevice",,,"25/09/2023 14:38:02","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","14/12/2023 11:04:45",,,,"a2704d0e-470b-450e-8860-d9777fb1e049",,"Company","2","ACLT22","ASAPCLOUD Laptops Admin User",,"117c10db-f6c5-44fd-8c8f-669b3391f993","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22631.2861","System.String[]","RegisteredDevice",,,"22/11/2023 15:55:05","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","20/03/2023 12:53:03",,,,"80a8443e-c01e-43ee-9b26-7afa5a505370",,"Company","2","ACLT20","ASAPCLOUD Laptops Admin User",,"1913b9dd-8bf5-476a-baa7-c09cc3dc2359","False","False","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22621.1105","System.String[]","RegisteredDevice",,,"20/03/2023 14:09:28","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","05/12/2023 11:46:15",,,,"5c778f95-9706-40a7-9e7e-094d2d4aa746",,"Company","2","ACLT09","ASAPCLOUD Laptops Admin User",,"1b4f11f2-8a50-4caa-a831-9c75283ee253","False","False","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22631.2506","System.String[]","RegisteredDevice",,,"23/05/2023 16:51:08","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","15/12/2023 22:25:27",,,,"97113d86-437b-4ace-bed2-386e668ca31c",,"Company","2","ACMA01","macOS Enrollment - User Affinity",,"1bd8af47-3712-4981-b1fd-4b93e409fef0","True","True","0000000a-0000-0000-c000-000000000000",,,,"MacMDM","14.1.2 (23B92)","System.String[]","RegisteredDevice",,,"18/08/2022 15:56:56","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
